name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
Sweet Potato Pot Pie Recipe,"3 tablespoons extra-virgin olive oil  
1 medium white or yellow onion, chopped  
3 cloves garlic, chopped  
2 1/2 to 3 cups sweet potatoes, peeled and diced into  1/4-inch pieces  
1/2 teaspoon salt (plus more to taste)  
1 tablespoon adobo sauce from a can of chipotle chilies (or more to taste)  
1 cup corn kernels, fresh or frozen  
2 cups cold whole or low-fat milk  
2 tablespoons cornstarch  
1 box puff pastry dough (allow 20 to 30 minutes to thaw)  
1 egg white",http://www.101cookbooks.com/archives/000127.html,http://www.101cookbooks.com/mt-static/images/food/potpies1.jpg,,,2004-11-15,,"A recipe from my first book that was featured in the Washington post - sweet potatoes, chipotle, corn, onions, and puff pastry.",Unknown
Slurp-tastic Herb Noodles Recipe,"4 ounces thin, dried spinach pasta  (thin)
1 cup coconut milk (light is fine)
scant 1 tablespoon green or yellow curry paste
1 1/2 cups lightly flavored vegetable broth
~1/4 teaspoon salt (more or less depending on the saltiness of your broth)
6 ounces tofu, cut into small cubes or pieces
1/4 cup chives, minced
1/3 cup cilantro, chopped
1/4 cup basil, chopped just before using
pinch of crushed red chile peppers",http://www.101cookbooks.com/archives/slurptastic-herb-noodles-recipe.html,http://www.101cookbooks.com/mt-static/images/food/herb_noodles.jpg,,Serves 2 to 4.,2008-09-30,,"A big, slurpy bowl of whisper-thin spinach noodles draped in a spicy curry and herb broth - inspired by a beautiful box of noodles I picked up in Mill Valley, Ca.",Unknown
Borlotti Bean Mole with Roast Winter Squash,"~1 1/2 cups (7 ounces) fresh borlotti beans
~1 1/2 cups (7 ounces) winter squash
olive oil
4 - 5  big leaves of kale (3 1/2 ounces)
2 tablespoons butter
1 medium onion, chopped
2 - 4 red jalapeno chiles, halved, seeded, and chopped
2 garlic cloves, chopped
1 pound of fresh plum tomatoes, chopped or 14-ounce can
2 teaspoons paprika
1 ounce of almonds, dark roasted and finely ground
2 ounces dark 70% dark chocolate, broken into pieces
salt",http://www.101cookbooks.com/archives/borlotti-bean-mole-with-roast-winter-squash-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pumpkin_mole_recipe.jpg,,Serves 4.,2008-10-11,,"A rich, hearty vegetarian mole recipe from Denis Cotter's new book. Seasonal beans, squash, and kale are baked in a rich, hearty chocolate and paprika-spiked mole. ",Unknown
Pappardelle with Spiced Butter,"1/4 teaspoon saffron threads
pinch of salt
1 stick / 4 oz / 100 g butter
2 tablespoons extra virgin olive oil
6 medium shallots, chopped
1/2 teaspoon ground ginger
1/2 teaspoon sweet paprika
1/2 teaspoon ground coriander
1/2 teaspoon ground cinnamon
scant 1/2 teaspoon cayenne pepper
1/4 teaspoon red chile flakes
1/4 teaspoon ground turmeric
1/4 teaspoon+ fine grain sea salt
black pepper
1/2 pound / 8 oz / 225 g dried pappardelle egg pasta 
1/2 pound / 8 oz / 225 g asparagus, sliced into 1/4-inch rounds
splash of cream
1/2 cup / 2 oz / 60 g pine nuts, toasted and chopped
2 tablespoons roughly chopped mint
2 tablespoons roughly chopped parsley",http://www.101cookbooks.com/archives/pappardelle-with-spiced-butter-recipe.html,http://www.101cookbooks.com/mt-static/images/food/spiced_pappardelle_recipe.jpg,10,,2010-05-18,20,"A recap of my Sunday, including a few portraits I shot, plus a top-notch pasta with spiced butter and asparagus inspired by a recipe from Yotam Ottolenghi's new book.",Unknown
A Good Soup for the Sick,"1 pound cranberry beans (like Borlotti)
8 cups of water
15 medium cloves of garlic, peeled and trimmed
2 big shallots (I might have used a white onion but didn't have one), sliced on the axis into thin crescents
2-3 dried smoked chiles (I used smoked serranos) but I suspect dried chipotles or even one or two chipotles from the can (in adobo sauce) would work nicely
2 teaspoons+  fine sea salt for seasoning
a drizzle of flavorful extra-virgin olive oil
a small handful of cilantro, chopped
a couple (optional) handfuls of a salty hard cheese, Parmesan, grated (I think my mystery cheese was actually Three Sisters Serena)",http://www.101cookbooks.com/archives/001397.html,http://www.101cookbooks.com/mt-static/images/food/soup_for_when_sick.jpg,,Serves 4 to 6,2006-04-21,,"Turn to this miraculously delicious soup when you are feeling sick - beans, water, garlic, shallots, chiles. Total active prep time was under five minutes, the rest is just waiting and anticipating.
",Unknown
Lively Up Yourself Lentil Soup Recipe,"2 cups black beluga lentils (or green French lentils), picked over and rinsed
1 tablespoon extra virgin olive oil
1 large onion, chopped
1 teaspoon fine-grain sea salt
1 28-ounce can crushed tomatoes
2 cups water 
3 cups of a big leafy green (chard, kale, etc), rinsed well, deveined, finely chopped
Saffron Yogurt
a pinch of saffron (30-40 threads)
1 tablespoon boiling water
two pinches of salt
1/2 cup 2% Greek Yogurt 
Variations:
- You can serve it with a poached egg on top,
- or crunchy, fried shallots,
- with a drizzle of chive infused cream,
- or with chunks of tiny pan-fried butternut squash cubes.
- Make a thicker version by using just a bit of water, and then spoon it over an omelette in the morning.
- Have some cooked farro or wheat berries around? Toss some in. Millet might be good too.
- You can finish the soup by adding your favorite spices or spice blends. Smoked paprika, crushed chiles, toasted cumin, would all work nicely.",http://www.101cookbooks.com/archives/lively-up-yourself-lentil-soup-recipe.html,http://www.101cookbooks.com/mt-static/images/food/lentil_soup_recipe_07.jpg,,Serves 6 to 8. ,2008-01-03,,"Healthy, quick, and satisfying this lentil soup recipe delivers layer after layer of flavor. The tang of the tomatoes plays off the earthiness of the lentils, and the fragrant bolt of saffron yogurt brightens each bowl.",Unknown
Palak Daal,"1 cup / 6.5 oz / 185 g white urid or urad daal, picked over and rinsed
6 cups / 1.5 liters water, plus more if necessary
1/2 pound spinach, washed and finely chopped
1 tablespoon ginger, peeled and finely chopped
1/2 teaspoon turmeric
2 medium green chile peppers, minced
2 tomatoes, chopped
1/2 teaspoon salt
2 tablespoons butter
1/2 teaspoon cumin seeds
1 teaspoon pure red chile powder
a pinch of asafetida, optional
more salt to taste
juice of 1/2 a lemon
1/4 cup cilantro, chopped",http://www.101cookbooks.com/archives/palak-daal-recipe.html,http://www.101cookbooks.com/mt-static/images/food/palak_daal_recipe.jpg,120,,2010-01-30,20,"A palak daal recipe from Kasa's Anamika Khanna - a hearty pot of spinach, lentils, and spices. Kasa is a favorite Indian restaurant of mine here in San Francisco.",Hard
Salsa of the Year,"3 T. vegetable oil 
1 ounce dried mirasol (milder) or smoked serrano (more heat) chilies
garlic, 12 small to medium cloves - peeled
Another 3 T. vegetable oil
1 1/4 cups vegetable broth
- Stir in 1/3 cup cream (or to taste) - for a slightly creamy sauce that will add a bit of kick to a wide range of recipes. (this is the sauce you see in the pictures on this post). Drizzle on savory crepes, egg dishes, casseroles, etc.
- Stir a couple tablespoons into light or vegan mayo for a spicy sandwich spread.
- Spread on panini: with all sorts of fixings.",http://www.101cookbooks.com/archives/000325.html,http://www.101cookbooks.com/mt-static/images/food/soty1.jpg,,Makes about 1 cup.,2005-08-21,,"Smoky and creamy, this salsa recipe is best drizzled over eggs, quesadilla, and crepes.",Unknown
A Quartet of Compound Butters,"4 tablespoons unsalted organic butter, room temperature
1 or 2 Numi Desert Lime tea bags (depending on how strong you want it), cut open and the contents ground in a mortar and pestle
1/4 teaspoon fine grain sea salt
4 tablespoons unsalted organic butter, room temperature
1 tablespoon organic cane sugar (I used Florida Crystals)
1/3 cup dehydrated organic strawberries, minced
4 tablespoons unsalted organic butter, room temperature
2 serrano chiles, deveined and  seeded, loosely chopped
1/4 teaspoon fine grain sea salt
4 tablespoons unsalted organic butter, room temperature
1 - 1 1/2 teaspoons smoked paprika
1/4 teaspoon fine grain sea salt",http://www.101cookbooks.com/archives/001470.html,http://www.101cookbooks.com/mt-static/images/food/compoundbutter.jpg,,,2006-08-08,,"A quartet of vibrant, colorful, and unique compound butter recipes - Smoked Paprika, Dry Desert Lime, Raw Serrano, and Dehydrated Strawberry.  ",Unknown
My Favorite Grilled Kabob Recipe,"Muhammara Slather:
1 tablespoon crushed red pepper
flakes or 1 small red chile
1/2 teaspoon ground cumin
3/4 cup walnuts, toasted
1/4 cup whole-grain  bread crumbs
1/4 cup extra-virgin olive oil
2 tablespoons pomegranate molasses
1/4 cup tomato paste
2 to 3 roasted red peppers
1/2 to 1 cup warm water
1/2 teaspoon fine-grain sea salt
Kabobs
2 red onions, each cut into 6 wedges
3 lemons, each cut into 4 lengthwise wedges
12 ounces extra-firm tofu, cut into 12 equal-sized cubes
12 mushrooms
extra-virgin olive oil, for brushing
fine-grain sea salt
Special equipment: 6 wooden skewers",http://www.101cookbooks.com/archives/my-favorite-grilled-kabob-recipe.html,http://www.101cookbooks.com/mt-static/images/food/grilledkabobsrecipe.jpg,,Makes 6 kabobs.,2007-06-27,,"A kabob recipe featuring grilled mushrooms, lemons, tofu red onions and a delicious red pepper walnut slather.",Unknown
Pineapple Rice Recipe,"1/3 cup macadamia oil, olive oil, or sunflower oil
2 teaspoons toasted sesame oil
1/4 cup (fresh or canned) all-natural 100% pineapple juice
1 garlic clove
1/4 teaspoon red pepper flakes
2 tablespoons soy sauce (or shoyu)
1 cup pineapple, cut into chunks
2 teaspoons freshly grated ginger
1/4 teaspoon fine grain sea salt
4 handfuls of mizuna, watercress, or arugula
2 1/2 cups cooked brown rice, room temperature
4 green onions, thinly sliced
3 shallots, peeled and thinly sliced
1 cup cashews, roasted/toasted and chopped
1/2 small serrano chile, seeded and deveined, and minced (optional)
4 ounces seitan, cut into little bits and pan-fried (optional)",http://www.101cookbooks.com/archives/pineapple-rice-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pineapple_rice_recipe.jpg,5,,2009-09-15,15,A nice platter of greens and brown rice doused in a spicy-salty-sweet pineapple dressing flecked with seitan. It's good hot or at room temperature.,Easy
Red Posole Recipe,"1 pound / 16 oz / 453g dried ready-to-cook posole / hominy (see head notes)
1 small white onion, diced
3 medium garlic cloves, peeled and smashed
3 dried red New Mexican chile peppers, stems removed (see head notes)
1 teaspoon dried Mexican oregano
Red Sauce:
2 tablespoons extra-virgin olive oil
2 tablespoons finely diced white onion
2 medium cloves garlic, finely chopped
1 teaspoon dried oregano
2 tablespoons flour
1/2 teaspoon ground cumin
1/2 cup / 2 oz / 50g ground red chile (see head notes)
1/2 teaspoon fine grain sea salt
a quarter of one lime",http://www.101cookbooks.com/archives/red-posole-recipe.html,http://www.101cookbooks.com/mt-static/images/food/red_posole_recipe.jpg,20,,2009-12-24,240,"A big pot of red posole made on a stormy day. A brick-red brothy sauce surrounds the posole, and individual bowls are topped with thin wisps of pan-fried tortillas, a pinch of toasted Mexican oregano, and a bit of crumbled feta.",Hard
Dried Fava Soup with Mint and Guajillo Chiles,"1 pound / 16 oz / 450g hulled dry fava beans, rinsed (see photo for reference if needed)
8 cups / 2 liters good vegetable broth or water
6 garlic cloves, unpeeled
1 large white onion, sliced 1/2-inch / 1 cm thick
1 1/2 pounds / 24 oz / 680g ripe tomatoes
6 medium dried guajillo or pasilla chiles, stemmed &amp; seeded
2 tablespoons extra virgin olive oil
2 tablespoons cider vinegar
3/4 teaspoon dried Mexican oregano
1 1/2 teaspoon fine-grain sea salt, plus more to taste
1/2 cup / .25 oz / 10g loosely packed chopped cilantro
2 tablespoons chopped fresh mint, pref. spearmint
1/2 cup / 2 oz / 55g crumbled Mexican queso anejo or feta",http://www.101cookbooks.com/archives/dried-fava-soup-with-mint-and-guajillo-chiles-recipe.html,http://www.101cookbooks.com/mt-static/images/food/fava_soup_recipe.jpg,100,,2010-09-15,10,"Easily one of the best, most interesting soups I've cooked in years. Adapted from a recipe in Rick Bayless's Mexican Kitchen - a dried fava bean and roasted tomato base topped with a fascinating cider-kissed tangy/sweet quick-pickled chile topping.",Hard
Ottolenghi Soba Noodles,"1/2 cup / 120 ml brown rice vinegar
scant 1/3 cup / 1.5 oz / 40 g fine-grain natural cane sugar or brown sugar
1/2 teaspoon fine grain sea salt
2 garlic cloves, peeled and crushed
1/4 teaspoon red pepper flakes or 1/2 fresh red chile, minced
1 teaspoon toasted sesame oil
grated zest and juice of one lime
1/3 cup / 80 ml sunflower oil or olive oil
1 medium eggplant/aubergine 3/4 lb / 12 oz, cut into 1/2-inch / 1cm chunks
8 ounces / 225g dried soba noodles
1 large ripe mango, cut into small chunks
8 ounces grilled or pan-fried tofu, cut into tiny cubes
1/2 medium red onion, very thinly sliced
a handful of basil leaves, slivered
a handful of fresh cilantro / coriander, chopped",http://www.101cookbooks.com/archives/ottolenghi-soba-noodles-with-aubergine-and-mango-recipe.html,http://www.101cookbooks.com/mt-static/images/food/ottolenghi_soba_noodles.jpg,30,,2010-10-26,15,"Spicy brown sugar and lime-sauced soba noodles with tofu, eggplant, mango and lots of herbs. Inspired by a rare mango find, and a recipe in Yotam Ottolenghi's cookbook, Plenty.",Medium
Cucumber Peanut Salad,"3 medium cucumbers, partially peeled
1-2 green serrano chiles, stemmed and minced
1/2 cup / 2.5 ounces / 70 g peanuts, toasted
1/3 cup / 1.5 ounces / 45 g dried large-flake coconut, toasted
2 tablespoons fresh lemon juice
1 teaspoon natural cane sugar
1 tablespoon, ghee, clarified butter, or sunflower oil
1/2 teaspoon black mustard seeds
1/4 teaspoon cumin seeds
scant 1/2 teaspoon fine grain sea salt
a handful cilantro, chopped",http://www.101cookbooks.com/archives/cucumber-peanut-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/cucumber_peanut_salad_recipe.jpg,3,,2011-05-03,10,"We picked two new cookbooks to focus on in the 101 Cookbooks Library, and this recipe is inspired by a recipe from one of them. A refreshing chopped cucumber salad loaded with peanuts, spices, coconut, and chiles.",Easy
Sunchoke and Cashew Stir-fry,"1 teaspoon peanut or sunflower oil
1 egg, beaten
1 tablespoon peanut or sunflower oil, plus more if needed
1 tablespoon minced ginger
2 cloves minced garlic
3 medium shallots, chopped
1/2 serrano chile pepper, deveined and minced
1 cup very thinly sliced sunchokes, well scrubbed
Kernels from 2 ears of corn
1 1/2 - 2 cups day-old, cooked brown rice
1 egg, beaten (optional)
1 tablespoon soy sauce, plus more to taste
1/3 cup toasted almond slices
1/2 cup toasted cashews
fine grain sea salt and pepper, to taste
plenty of chopped fresh basil",http://www.101cookbooks.com/archives/sunchoke-and-cashew-stirfry-recipe.html,http://www.101cookbooks.com/mt-static/images/food/sunchoke_cashew_stirfry_recipe.jpg,3,"Serves 2-3 as a main course, more as part of a larger multi-course meal.",2012-07-12,10,"A beautiful fried rice made with brown rice, egg, sunchokes, cashews, and basil when Grace Young came over for lunch last week.",Easy
Baked Carrot Oven Fries,"a big bunch of farmers' market carrots, washed, trimmed
extra virgin olive oil
sea salt
4 ounces organic tofu
1/4 cup orange juice
quick squeeze of lime
scant 1 teaspoon adobo sauce from a can of chipotle chiles
1/2 teaspoon fine grain sea salt",http://www.101cookbooks.com/archives/001529.html,http://www.101cookbooks.com/mt-static/images/food/bakedcarrotfries1.jpg,,,2006-11-20,,"Made from carrots, this is a healthy, simple and delicious alternative to deep-fried potatoes. These baked oven fries (made from carrots) are simply roasted with olive oil and a sprinkling of sea salt. 
",Unknown
Fourth of July Roasted Tomato Salsa Recipe,"2 pounds Roma tomatoes, cut in half lengthwise
1 medium white onion, cut into six wedges
1 large garlic clove, halved
a couple pinches of finely ground sea salt
2-3 tablespoons of extra-virgin olive oil
1 medium dried guajillo chile pepper, soaked in boiling water until softened, and then drained
1 -2 chipotles in adobo sauce (canned)
1/2 cup cilantro, roughly chopped",http://www.101cookbooks.com/archives/fourth-of-july-roasted-tomato-salsa-recipe.html,http://www.101cookbooks.com/mt-static/images/food/salsarecipe_07.jpg,,Makes about 2 1/2 cups.,2007-07-01,,"A deliciously vibrant, earthy, and slightly smoky-tasting salsa recipe. Different from salsa fresca, the deep, caramelized flavors of the roasted tomatoes and onions alongside the smokiness of the chipotles make for a richly beautiful and balanced salsa. ",Unknown
Sunburst Carrot Salad Recipe,"2 bunches carrots, preferably spring carrots
extra virgin olive oil
fine grain sea salt
1 green chile (serrano), deveined and minced
1 lemon, zest and juice
1 cup cilantro, chopped
1 cup green pumpkin seeds (pepitas), toasted",http://www.101cookbooks.com/archives/sunburst-carrot-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/carrot_salad_recipe_08.jpg,,Serves 4 to 6.,2008-04-03,,"A favorite carrot salad recipe - carrot ribbons sauteed in a bit of salt and olive oil and finished off with lemon zest, finely chopped serrano chiles, a quick squeeze of lemon juice, and lots of cilantro.  ",Unknown
In a Hurry Green Curry Recipe,"2 teaspoons green curry paste*
scant 1/2  teaspoon salt
1 14-ounce can coconut milk (light ok)
1 large onion, sliced
14 ounces water or light vegetable broth
6 ounces of firm tofu cut into 1/2 inch cubes
1 cup peas, fresh or frozen
2 cups asparagus, cut into 1/2-inch segments
squeeze of fresh lime juice
1/4 cup small basil leaves
2 green hot chilies (Thai chilies)
1 tablespoon chopped garlic
1 tablespoon chopped shallots
1 teaspoon chopped galangal
1/2 teaspoon chopped kaffir lime rind
1 tablespoon chopped lemongrass
1 tablespoon chopped krachai
1/4 teaspoon roasted cumin seeds
1/4 teaspoon roasted coriander seeds
1/2 teaspoon salt",http://www.101cookbooks.com/archives/in-a-hurry-green-curry-recipe.html,http://www.101cookbooks.com/mt-static/images/food/light_greencurry_recipe.jpg,,Serves 4.,2008-05-15,,"A quick and delicious green curry recipe - peas, asparagus, and tofu swimming in a fragrant, not-overly-rich Thai green chile broth.",Unknown
Lime &amp; Peanut Coleslaw Recipe,"1 1/2 cups unsalted raw peanuts
1/2 of a medium-large cabbage
1 basket of tiny cherry tomatoes, washed and quartered
1 jalapeno chile, seeded and diced
3/4 cup cilantro, chopped
1/4 cup freshly squeezed lime juice
2 tablespoons olive oil
1/4 teaspoon + fine-grain sea salt",http://www.101cookbooks.com/archives/lime-peanut-coleslaw-recipe.html,http://www.101cookbooks.com/mt-static/images/food/coleslaw_recipe.jpg,,Serves 6 as a side.,2008-07-02,,"This feather-light, mayo-free, coleslaw recipe uses toasted peanuts, cherry tomatoes, and lime vinaigrette and is perfect alongside fajitas, or whatever you have coming off the grill. Keep in mind - great coleslaw is rooted in great knife skills. ",Unknown
Pepita Salad Recipe,"1 cup pepitas, toasted (divided)
1 cup cilantro leaves and stems, well washed and lightly packed
1/3 cup Parmesan cheese, freshly grated
3 medium cloves garlic, peeled
juice of 1 medium lemon
1 serrano chile pepper, minced
2/3 cup extra-virgin olive oil
4 cups cooked yellow split peas*
2 handfuls lettuce, torn into bite-sized pieces",http://www.101cookbooks.com/archives/pepita-salad-recipe.html,http://www.101cookbooks.com/mt-static/images/food/pepita_salad_recipe.jpg,,Serves 6 or so.,2008-10-20,,"A great pepita salad that can brighten up any table. Made from a simple combination of yellow split peas, toasted pepitas, and cilantro pesto.",Unknown
Lentil Almond Stir-Fry Recipe,"Mint sauce (optional)
1 cup fresh mint leaves
1/2 serrano chile pepper, de-veined and seeded
2 tablespoons olive oil
pinch of salt
a touch of sugar, or honey, or agave nectar
1 tablespoon lemon juice
extra-virgin olive oil
6 to 8 very small new potatoes, cut into 1/2 pieces
2 cups cooked brown or black lentils
12 brussels sprouts, trimmed and quartered
1/4 cup sliced almonds, toasted
1/3 cup plain Greek yogurt, thinned out with a bit of water, and salted with a pinch of salt
2 dates, pitted and chopped",http://www.101cookbooks.com/archives/lentil-almond-stirfry-recipe.html,http://www.101cookbooks.com/mt-static/images/food/lentil_almond_stirfry.jpg,,Serves 2-3.,2009-01-03,,"A good cold-weather stir-fry recipe. Tiny potatoes, brussels sprout wedges, toasted almonds and lentils are served with a drizzle of mint and a bit of thinned-out, salted plain yogurt, and a sprinkling of chopped dates.",Unknown
